line,full_title,has_colon,disagreement,scope
62,"Mechanistic Validity: A Validity Theory, Research Methodology, and Evidence Standard for Mechanistic Science",y,,science
67,"Mechanistic Validity: A Theory of Evidential Warrant, a Research Methodology, and an Evidence Standard for Mechanistic Science",y,,science
72,"Mechanistic Validity: A Validity Theory, Research Methodology, Evidence Standard, and Claim Audit for Mechanistic Science",y,,science
77,"Mechanistic Views: Commitment, Resolution, and Realism for Mechanistic Science",y,,science
198,"Mechanistic Views: A Pluralist Ontology, Resolution Theory, and Realism Criterion for Mechanistic Science",y,,science
203,"Mechanistic Views: A Commitment Discipline, Resolution Theory, and Realism Criterion for Mechanistic Science",y,,science
206,"Mechanistic Views: A View Atlas, Resolution Theory, and Realism Criterion for Mechanistic Science",y,,science
209,"Mechanistic Views: A Pluralist Ontology, Identity Criteria, Resolution Theory, and a Realism Criterion for Mechanistic Science",y,,science
329,"Mechanistic Views: A Formal Ontology, Resolution Theory, and Realism Criterion for Mechanistic Science",y,,science
333,"Mechanistic Views: Formal Identity Criteria, Intervention Orderings, and a Realism Criterion for Mechanistic Science",y,,science
337,"Mechanistic Views: A Formal Ontology, a Resolution Calculus, and a Realism Criterion for Mechanistic Science",y,,science
441,"Mechanistic Views: What Counts as a Mechanism, and at What Resolution",y,,
442,Mechanistic Views: Declaring the Unit and Matching the Resolution in Mechanism Claims,y,,claims
443,Matched Resolution: When Methods That Disagree Are Both Right,y,y,
447,"Mechanistic Views: Nine Ways to Decompose a Mechanism, and How to Tell Them Apart",y,,
448,Mechanistic Views: Decomposition Choices Are Empirical Commitments,y,,
453,Mechanistic Views: Diagnosing Evidence–Claim Mismatch in Mechanism Research,y,,
454,Over-Resolved: A Framework for Mechanism Claims Across Decompositions,y,,claims
458,Mechanistic Views: A Formal Framework for Mechanism Identity and Resolution,y,,
537,"Mechanistic Views: Mechanism Identity, Cross-Method Disagreement, and the Limits of Realist Inference",y,y,
538,"Mechanistic Views: Identity Criteria, Resolving Disagreement, and Realist Warrant for Mechanism Claims",y,y,claims
539,"Mechanistic Views: Mechanism Identity, Evidential Reach, and Realist Inference",y,,
543,"Mechanistic Views: Ontological Commitment, Evidential Reach, and Reporting Standards for Mechanism Claims",y,,claims
544,"Mechanistic Views: Identity Theory, Disagreement Diagnosis, and Declaration Standards for Mechanism Claims",y,y,claims
548,"Mechanistic Views: Mechanism Grain, Resolving Power, and the Adjudication of Method Disagreement",y,y,
592,"Title should mirror MechVal's ""Name: A ⟨Theory-kind⟩ for ⟨Object⟩"" skeleton, not invent a new shape",y,,
592,"MechVal reads ""Mechanistic Validity: A Validity Theory for Mechanistic Claims""; series coherence is doing work",y,,claims
619,Mechanistic Views: A Theory of Mechanism Identity for Interpretability Claims,y,,interp
620,"Mechanistic Pluralism: Ontology, Identity, and the Dissolution of Mechanistic Disagreement",y,y,
621,What Is a Mechanism? An Atlas of Nine Views and the Identity Criteria That Divide Them,,,
622,"Mechanistic Identity: Ontological Commitments, Coherence Conditions, and Cross-View Promotion",y,,
622,"Mechanistic Identity: Ontological Commitments, Coherence Conditions, and Cross-View Promotion** — three-part, technical, signals machinery",y,,
623,Views Before Evidence: An Identity Theory for Mechanistic Claims,y,,claims
623,"Views Before Evidence: An Identity Theory for Mechanistic Claims** — punchy, states the dependency thesis directly",y,,claims
625,Mechanistic Views: A Theory of Mechanism Identity for Mechanistic Claims,y,,claims
663,Mechanistic Validity: A Validity Theory for Mechanistic Claims,y,,claims
663,Mechanistic Validity: A Validity Theory for Mechanistic Claims** [^94_1],y,,claims
665,"Mechanistic Interpretability as Geometry: A Unified Framework for Views, Validity, Reference, Realism, and Coverage",y,,interp
665,"Mechanistic Interpretability as Geometry: A Unified Framework for Views, Validity, Reference, Realism, and Coverage** [^94_3]",y,,interp
673,"What Is a Mechanism? An Atlas of Nine Views and the Identity Criteria That Divide Them** — the interrogative one, highest memorability",,,
674,"Mechanistic Pluralism: Ontology, Identity, and the Dissolution of Mechanistic Disagreement** — three-part rhythm",y,y,
675,"Mechanistic Identity: Ontological Commitments, Coherence Conditions, and Cross-View Promotion** — technical, machinery-signaling",y,,
676,Views Before Evidence: An Identity Theory for Mechanistic Claims** — punchy dependency thesis,y,,claims
677,Mechanistic Views: A Theory of Mechanism Identity for Mechanistic Claims** — the safe series-parallel pick,y,,claims
686,"Mechanistic Science: Ontology, Identity, and Evidence",y,,science
686,"Mechanistic Science: Ontology, Identity, and Evidence** — series-level umbrella, not a single paper",y,,science
687,The Views of Mechanistic Science: Identity Criteria for Mechanism Claims,y,,science
688,Mechanistic Science Without a Master Ontology: Nine Views and Their Identity Criteria,y,,science
748,"Mechanistic Identity (as a concept, not exact title)",,,
771,Mechanistic Identity: Intervention Orderings and a Realism Criterion for Mechanistic Science,y,,science
797,"A Semantics for Mechanistic Claims: Identity, Ordering, and Realism in Mechanistic Science",y,,science
798,The Grammar of Mechanism: A Conceptual Framework for Mechanistic Identity,y,,
799,What Mechanistic Claims Mean: An Ontology and Semantics for Mechanistic Science,y,,science
800,"Mechanistic Semantics: Identity, Evidence, and Realism for the Sciences of Mechanism",y,,
801,"A Language for Mechanism: Ontology, Identity, and Resolution in Mechanistic Science",y,,science
817,Mechanistic Views: A Semantics for Mechanistic Claims,y,,claims
818,Mechanistic Views: A Semantics of Mechanism Identity for Mechanistic Science,y,,science
819,Mechanistic Views: The Grammar of Mechanistic Claims,y,,claims
820,Mechanistic Views: A Language for Mechanistic Claims,y,,claims
821,Mechanistic Views: What Mechanistic Claims Mean,y,,claims
825,Mechanistic Views: A Theory of Mechanism Identity,y,,
826,Mechanistic Views: Identity Criteria for Mechanistic Claims,y,,claims
827,Mechanistic Views: An Ontology of Mechanism for the Sciences,y,,
828,Mechanistic Views: Ontological Commitments and Identity Criteria for Mechanistic Claims,y,,claims
834,"Mechanistic Views: Identity, Resolution, and Realism in Mechanistic Science",y,,science
838,"Mechanistic Views: A Semantics for Mechanistic Claims, with Identity Criteria and a Realism Criterion",y,,claims
839,"Mechanistic Views: A Semantics of Mechanism Identity, Resolution, and Realism",y,,
840,Mechanistic Views: An Identity Semantics for Mechanistic Science,y,,science
844,Mechanistic Views: An Atlas of Mechanism Ontologies and Their Identity Criteria,y,,
845,Mechanistic Views: Nine Ontologies of Mechanism and What Distinguishes Them,y,,
849,Mechanistic Views: Identity Criteria for Mechanistic Science,y,,science
850,Mechanistic Views: A Theory of Mechanism Identity for Mechanistic Science,y,,science
851,Mechanistic Views: Semantics and Identity for Mechanistic Claims,y,,claims
857,"Mechanistic Views: A Theory of Mechanism Identity for Mechanistic Science** — safest, cleanest parallel to MechVal's ""A Validity Theory for Mechanistic Claims""",y,,science
907,"Mechanistic Views: Identity Criteria, Intervention Orderings, and a Realism Criterion for Mechanistic Science",y,,science
943,"Mechanistic Views: Identity Criteria, Coherence Violations, and a Realism Criterion for Mechanistic Science",y,,science
944,"Mechanistic Views: Identity Criteria, Cross-View Disagreement, and a Realism Criterion for Mechanistic Science",y,y,science
945,"Mechanistic Views: Identity Criteria, Disagreement Resolution, and a Realism Criterion for Mechanistic Science",y,y,science
